Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
21/11/2016,"16 MOUNT SION AVE, WATERFORD",,Waterford,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/05/2019,"30 ELMFIELD AVE, CLARE HALL MALAHIDE RD, DUBLIN 17",Dublin 13,Dublin,"€335,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2022,"78 HILL OF DOWN, SPENCER DOCK, MAYOR ST DUBLIN 1",Dublin 1,Dublin,"€382,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2017,"2 Coolkelure Rise, Coolkelure, Lehenaghbeg",,Cork,"€250,687.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/11/2015,"50 Abhainn glas, Edgeworthstown",,Longford,"€35,000.00",No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
23/10/2017,"35 GREAT WESTERN VILLAS, PHIBSBOROUGH, DUBLIN 7",Dublin 7,Dublin,"€281,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/07/2010,"Luddon, Ballyneety",,Limerick,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/01/2015,"24 BRACKERNAGH, BALLINASLOE, GALWAY",,Galway,"€30,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/10/2017,"7 LOUGH SILLAN LODGE, SHERCOCK, COUNTY CAVAN",,Cavan,"€156,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/02/2015,"221 Cratloewood, Old Cratloe Road",,Limerick,"€7,500.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
09/07/2020,"11 KINSEALY MANOR, CHAPEL ROAD, KINSEALY",,Dublin,"€414,096.92",No,Yes,New Dwelling house /Apartment,
26/10/2016,"TONEGURRANE, CORRANDULLA, GALWAY",,Galway,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/08/2019,"TENTORE, BALLACOLLA, PORTLAOISE",,Laois,"€129,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/04/2019,"KILMORE, CARRICK ON SHANNON, ROSCOMMON",,Leitrim,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/07/2014,"67 Grosvenor Lodge, Rathmines",Dublin 6,Dublin,"€278,400.00",No,No,Second-Hand Dwelling house /Apartment,
17/08/2011,"92 Bandon Road, Cork",,Cork,"€187,500.00",No,No,Second-Hand Dwelling house /Apartment,
16/01/2013,"2 Gael gCua, Kilrush, Dungarvan",,Waterford,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2016,"7 COIS FARRAIGE, KILKEE, CLARE",,Clare,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/04/2018,"33 CLUAIN ALAINN, THE BURGERY   ABBEYSIDE, DUNGARVAN",,Waterford,"€120,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
31/10/2019,"VILLA TYONE, BRAY RD, FOXROCK DUBLIN 18",Dublin 18,Dublin,"€925,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2019,"18 STEEVENS GATE, JAMES ST, DUBLIN 8",Dublin 8,Dublin,"€302,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/01/2018,"APT 9, MARDYKE HALL, MARDYKE WALK",,Cork,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/09/2021,"8 HAIG GARDENS, BOREENMANNA ROAD, CORK",,Cork,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/11/2016,"DOON, STROKESTOWN, CO ROSCOMMON",,Roscommon,"€33,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/03/2013,"5 The Village, Ballymoney, Gorey",,Wexford,"€177,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/10/2020,"95 WHITECLIFF, RATHFARNHAM, DUBLIN 16",Dublin 16,Dublin,"€525,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2016,"1 KING ST AVE, WEXFORD, WEXFORD",,Wexford,"€62,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/08/2014,"60 ST HELENS RD, BOOTERSTOWN, DUBLIN",,Dublin,"€832,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/09/2015,"Unit 17 Baggotrath, Newbridge Avenue, Sandymount",Dublin 4,Dublin,"€485,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/04/2011,"79  Mile Stream, Shanakiel, Cork",,Cork,"€218,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/03/2019,"RONCALI, WAVECREST DR, BLACKROCK",,Louth,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/02/2016,"Apartment 60 & Car Space 50, The Forum, Sandyford",Dublin 18,Dublin,"€259,200.71",No,No,Second-Hand Dwelling house /Apartment,
22/12/2015,"34 Tir an Choir, Vicorschorland, TUAM",,Galway,"€6,608.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
12/11/2021,"63A FRIARS HILL, RAHOON, FRIARS HILL",,Galway,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2018,"61 An Saileachan, Raheen, Athenry",,Galway,"€242,290.74",No,Yes,New Dwelling house /Apartment,
30/06/2020,"29 Gandon Crescent, Gandon Park, Lucan",,Dublin,"€365,638.00",No,Yes,New Dwelling house /Apartment,
14/12/2016,"'SANCTA MARIA', BRIGHTON ROAD, FOXROCK",,Dublin,"€3,150,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/06/2015,"RIVERVIEW LOWER, MONTENOTTE, CORK",,Cork,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/07/2016,"115 ST DECLANS RD, MARINO, DUBLIN 3",Dublin 3,Dublin,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/08/2018,"72, ardglas",,Wicklow,"€185,975.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
01/04/2019,"41 RICE PARK, CALLAN, CO KILKENNY",,Kilkenny,"€65,251.00",No,No,Second-Hand Dwelling house /Apartment,
06/04/2021,"141 Clonlara, Kerry Pike, Cork",,Cork,"€303,964.75",No,Yes,New Dwelling house /Apartment,
12/06/2018,"42 ARDILUAN HEIGHTS, BALLYMAHON RD, MULLINGAR",,Westmeath,"€147,623.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2013,"COILBEE, LISTOWEL, KERRY",,Kerry,"€10,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/11/2011,"41 Cahirdown Wood, Cahirdown, Listowel",,Kerry,"€140,000.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
01/04/2016,"22 CASTLEFARM, SWORDS, DUBLIN",Dublin 18,Dublin,"€388,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/03/2020,"HIGH STREET, CROOM, LIMERICK",,Limerick,"€73,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/01/2020,"APT 7 THE GARDENS, APPLEWOOD VILLAGE  SWORDS, AND 9 OTHER PROPERTIES",,Dublin,"€1,920,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/03/2020,"24 LADYS ABBEY, ARDFINNAN, TIPPERARY",,Tipperary,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/11/2015,"60 Cedar Grove, Ridgewood, Forrest Road Swords",,Dublin,"€352,423.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
27/11/2014,"25 Hampton Wood Drive, Hampton Wood",Dublin 11,Dublin,"€123,348.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
23/10/2015,"4 THE CLOSE, MEADOWFIELDS, THE MOYNE",,Wexford,"€66,100.00",No,No,Second-Hand Dwelling house /Apartment,
04/10/2017,"7 ALLEN BLOCK, SHANNON COURT APT, CARRICK-ON-SHANNON",,Leitrim,"€77,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2018,"10 MARKET ST, CLOGHEEN, TIPPERARY",,Tipperary,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/03/2016,"SWEEP LANE, NURNEY, CO KILDARE",,Kildare,"€132,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/10/2010,"23 THE FAIRWAYS, WESTPORT",,Mayo,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/08/2015,"BALLINAKILLA, CARRIGTWOHILL, CORK",,Cork,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/05/2017,"32 PRIORY LODGE, TERMONFECKIN, LOUTH",,Louth,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/10/2015,"55 Barnwall Court, Balbriggan, Co. Dublin",,Dublin,"€135,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
29/04/2020,"DUNMORE RD, MILLTOWN, TUAM",,Galway,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/08/2020,"4 Abbey Way, Mungret Gate, Baunacloka",,Limerick,"€255,506.60",No,Yes,New Dwelling house /Apartment,
02/08/2017,"13 LUTTRELLSTOWN GROVE, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,"€388,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/01/2013,"33 Kavanagh Hall, Collegewood, Castleknock",Dublin 15,Dublin,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/02/2021,"61 CUIRT NA HABHAINN, LAKEVIEW, CLAREGALWAY",,Galway,"€237,886.00",No,Yes,New Dwelling house /Apartment,
05/11/2020,"SLIGO ROAD, BALLINA, MAYO",,Mayo,"€52,500.00",Yes,No,Second-Hand Dwelling house /Apartment,
19/12/2014,"UNIT 1 MAIN STREET, LUSK, CO DUBLIN",,Dublin,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/07/2014,"15 THE GRANGE, GLENCAR SCOTCH LETTERKENNY, DONEGAL",,Donegal,"€87,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/03/2019,"73 THE FAIRWAYS, ABBEYLEIX, LAOIS",,Laois,"€171,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/11/2018,"MAIN ST, KILLENAULE, THURLES",,Tipperary,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2018,"72 Lisheen Woods, Ovens, Co. Cork",,Cork,"€330,396.00",No,Yes,New Dwelling house /Apartment,
09/04/2021,"3 HILLCREST, DOUGH, LAHINCH",,Clare,"€475,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/06/2013,"4 Glencairn Green, The Gallops, Leopardstown",Dublin 18,Dublin,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/10/2021,"26 HAZELWWOOD, BRIDGETOWN, CO WEXFORD",,Wexford,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/03/2019,"30 PARKSIDE BOULEVARD, PARKSIDE, BALGRIFFIN",,Dublin,"€440,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/09/2013,"13 Islean, Ballyjamesduff",,Cavan,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/10/2021,"ROCKSPRINGS, CAMOLIN, ENNISCORTHY",,Wexford,"€435,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/09/2019,"BALLINGARRY, BALLYFEARD, CORK",,Cork,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/05/2017,"21 LINNETFIELDS PARK, CASTAHEANY, DUBLIN 15",Dublin 15,Dublin,"€170,500.00",No,No,Second-Hand Dwelling house /Apartment,
11/05/2018,"COLEMAN HOUSE, CARROWKEEL, MURRISK",,Mayo,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/11/2014,"45 SEAPARK, MOUNT PROSPECT AVE, CLONTARF",Dublin 3,Dublin,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/04/2012,"31, Stillorgan Park, Stillorgan",,Dublin,"€385,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/09/2014,"25 THE COURTYARD, MAELDUIN, DUNSHAUGHLIN",,Meath,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/04/2019,"RUSHEEN, RIVERSTOWN, SLIGO",,Sligo,"€44,970.00",Yes,No,Second-Hand Dwelling house /Apartment,
02/06/2016,"APT 25, BEACHSIDE, STRAND RD",,Waterford,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/03/2015,"5 An Crompan, The Burgery, Dungarvan",,Waterford,"€233,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/08/2016,"62 GLEANN ALAINN, TULLYALLEN, DROGHEDA",,Louth,"€184,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/11/2015,"4 Willow Lodge, Farmleigh Woods, Castleknock",,Dublin,"€171,263.00",No,No,Second-Hand Dwelling house /Apartment,
01/12/2021,"89 GLENOAKS CLOSE, CLONMEL, TIPPERARY",,Tipperary,"€187,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/05/2020,"14D FRIARY DOWNS, KILLARNEY, KERRY",,Kerry,"€119,163.00",Yes,No,Second-Hand Dwelling house /Apartment,
14/06/2011,"Apartment 42, Music Hall, Cows Lane  Temple Bar",,Dublin,"€138,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/07/2019,"120 ROCKVIEW, SIMONS RIDGE, BLACKGLEN RD DUBLIN 18",Dublin 18,Dublin,"€232,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2017,"MAIN STREET, BALLINEEN, CO CORK",,Cork,"€117,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/08/2014,"DOONFORE, BALLINFULL, SLIGO",,Sligo,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/03/2017,"12 THE AVENUE, BODEN PARK, RATHFARNHAM DUBLIN 16",Dublin 16,Dublin,"€436,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/09/2012,"1 Dingle Court, Magheracar, Bundoran",,Donegal,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/08/2016,"12 ST ITAS TERRACE, ST ITAS RD, NEWCASTLE WEST",,Limerick,"€28,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/04/2010,"40 Ardfallen Estate, Douglas",,Cork,"€339,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/08/2018,"89 FORTFIELD ROAD, TERENURE, DUBLIN 6W",,Dublin,"€600,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/04/2010,"5 Clankee Court, Shercock, Co. Cavan",,Cavan,"€103,700.44",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
24/10/2019,"3 rye lane, millerstown, kilcock",,Kildare,"€295,154.19",No,Yes,New Dwelling house /Apartment,
03/12/2021,"Apartment 29, The Brickworks, Station Road",,Dublin,"€352,828.19",No,Yes,New Dwelling house /Apartment,
24/02/2021,"MILL BANK, MOUNTRATH, LAOIS",,Laois,"€164,994.00",No,No,Second-Hand Dwelling house /Apartment,
18/09/2015,"173 Meadowgate, Gorey",,Wexford,"€198,238.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
10/07/2019,"PROSPECT HALL, MONATREA, WATERFORD",,Waterford,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/01/2018,"22 AYLESBURY, BALLINCOLLIG, CORK",,Cork,"€267,700.00",No,No,Second-Hand Dwelling house /Apartment,
18/10/2017,"RUSHLAKE, WOODLAWN, BALLINASLOE",,Galway,"€162,500.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2017,"5 THE CLOSET APTS, ROSEMARY ST, ROSCREA",,Tipperary,"€7,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/09/2021,"36 BLACKBUSH AVE BRYANSTOWN, DROGHEDA, MEATH",,Meath,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/06/2017,"ROSSNAMULLANE, VICARSTOWN, STRADBALLY",,Laois,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/06/2016,"20 WILLOWMERE, GREYSTONES, WICKLOW",,Wicklow,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/07/2014,"12 Corbally Way, Westbrook Lawns, Tallaght",Dublin 24,Dublin,"€232,900.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2015,"CALLURA EAST, ENNISTYMON, CO CLARE",,Clare,"€87,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/02/2019,"32 COLLEGE GT, TOWNSEND ST, DUBLIN 2",Dublin 2,Dublin,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2017,"CRANNAGH CASTLEINEY, TEMPLEMORE, CASTLEINEY",,Tipperary,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/01/2010,"26 Rathglas, Kilgarve, Ballinasloe",,Galway,"€167,400.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
14/02/2017,"COOLGARROW, ENNISCORTHY, WEXFORD",,Wexford,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2013,"10 Douglas Hall Lawn, Well Road, Douglas",,Cork,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/09/2014,"7 THE AVON, THE COURTYARD, NEWTOWNFORBES",,Longford,"€27,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/11/2016,"7 GROVE PARK, RATHMINES, DUBLIN 6",Dublin 6,Dublin,"€800,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/09/2010,"29 Sion Road, Glenageary, Co. Dublin",,Dublin,"€580,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/11/2014,"9 DROMHALE CLOSE, KILLARNEY, KERRY",,Kerry,"€346,200.00",No,No,Second-Hand Dwelling house /Apartment,
19/03/2021,"37 THE RISE, BODEN PARK, RATHFARNHAM DUBLIN 16",Dublin 16,Dublin,"€521,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/10/2019,"29 GURRANABRAHER AVE, GURRANABRAHER, CORK",,Cork,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/03/2013,"1 Elmore Lawns, Omeath",,Louth,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/04/2017,"59 BLARNEY ST, CORK CITY, CORK",,Cork,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2016,"68 BELLINGHAM GREEN, CASTLEBELLINGHAM, LOUTH",,Louth,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/08/2020,"16 OAKVIEW DR, HARTSTOWN, CLONSILLA DUBLIN 15",Dublin 15,Dublin,"€311,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/10/2018,"BRIDGE ST, DUNMANWAY, CORK",,Cork,"€117,500.00",Yes,No,Second-Hand Dwelling house /Apartment,
12/07/2021,"12 ST LUKES CRESCENT, DUNDRUM ROAD, DUNDRUM",Dublin 14,Dublin,"€450,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
20/12/2012,"9 Glenhill Road, Finglas, Dublin 11",,Dublin,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2018,"32 BLACKWATER ABBEY NAVAN, MEATH",,Meath,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/09/2019,"2 ST PATRICKS ROAD, DALKEY, CO DUBLIN",,Dublin,"€440,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/05/2018,"APT 4, BLOCK 1, BEAUPARK ST CLONGRIFFIN DUBLIN 13",Dublin 13,Dublin,"€192,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/03/2020,"7 BARONS HALL PARK, BALBRIGGAN, DUBLIN",,Dublin,"€172,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/06/2014,"GLENBEIGH, TORQUAY RD, FOXROCK DUBLIN 18",Dublin 18,Dublin,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/09/2020,"19 BANNER COURT, THE HAWTHORNS, ENNIS",,Clare,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/01/2014,"78 SEAFIELD RD EAST, CLONTARF, DUBLIN 3",,Dublin,"€1,200,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/02/2010,"Station View, Donbate",,Dublin,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2013,"ARCHERS CRESCENT, LOUGHBOY, KILKENNY",,Kilkenny,"€178,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/08/2011,"RUSHEEN, BALLYLONGFORD",,Kerry,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/12/2020,"41 Tuairín, Roscam, Galway",,Galway,"€341,409.68",No,Yes,New Dwelling house /Apartment,
14/12/2012,"204 St Brigids Place, Portlaoise",,Laois,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/10/2011,"99 Grand Canal Residences, Grand Canal Square, Hanover Quay",,Dublin,"€210,000.00",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
17/07/2017,"132 KELVIN CLOSE, PORTMARNOCK, DUBLIN",Dublin 13,Dublin,"€590,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/10/2018,"2a Limewood Park, Raheny",Dublin 5,Dublin,"€512,500.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
14/03/2017,"87 AN PLASAN, COIS NA HABHAINN, STATION RD",,Westmeath,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/09/2012,"7 Burr Ridge, Park Road, Killarney",,Kerry,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/04/2019,"11 ORMOND LAWN, SWORDS MANOR, DUBLIN",,Dublin,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/01/2020,"16 COSMONA, LOUGHREA, GALWAY",,Galway,"€42,500.00",Yes,No,Second-Hand Dwelling house /Apartment,
05/05/2017,"4 CHANCERY CLOSE, CLONCOLLOG, TULLAMORE",,Offaly,"€75,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
20/11/2012,"BELVOIR, SIXMILEBRIDGE, CO CLARE",,Clare,"€20,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/10/2010,"Cuain Oir, Brooklodge, Glanmire",,Cork,"€358,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/04/2013,"19 Laburnum Avenue, Forrest Hill  Kilnagleary, Carrigaline",,Cork,"€315,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
02/12/2021,"306 AN RI RUA, BETTYSTOWN, MEATH",,Meath,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/02/2016,"6 GLENCAIRN COPSE, LEOPARDSTOWN, DUBLIN 18",Dublin 18,Dublin,"€465,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/08/2016,"35 COWPER DOWNS, RATHMINES, DUBLIN 6",Dublin 6,Dublin,"€503,250.00",No,No,Second-Hand Dwelling house /Apartment,
24/07/2014,"BRAMBLE COTTAGE, NEWGROVE, KILRICKLE",,Galway,"€161,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/10/2013,"52 Willsbrook Drive, Lucan",,Dublin,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/06/2015,"1 KILKEE BAY, CLARE",,Clare,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/04/2018,"CHURCH ROAD, KILKEE, CO. CLARE",,Clare,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/01/2021,"RINGSTOWN, MOUNTRATH, CO LAOIS",,Laois,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/05/2019,"32 SEAN BOTHAIR, LATT, CAVAN",,Cavan,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/02/2010,"Condonstown, Dungourney",,Cork,"€50,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
20/09/2013,"7 Roman's Walk, Mulgrave Road",,Cork,"€64,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/11/2019,"6 Bay Meadows Avenue, Hollywoodrath, Hollystown",Dublin 15,Dublin,"€255,066.08",No,Yes,New Dwelling house /Apartment,
21/09/2021,"BALLYMARTIN, PALLASKENRY, LIMERICK",,Limerick,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/06/2021,"7 SEAFIELD RD, BOOTERSTOWN, DUBLIN 4",,Dublin,"€865,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/08/2019,"76 Cnoc Tiarnach, Dunshaughlin",,Meath,"€295,154.00",No,Yes,New Dwelling house /Apartment,
20/12/2012,"8 Droim Ard Avenue, Ramelton Road, Letterkenny",,Donegal,"€308,370.20",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
14/10/2016,"LOUGHANALTAN, CALRY, SLIGO",,Sligo,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/10/2021,"29 MOYLENA, TULLAMORE, CO OFFALY",,Offaly,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2013,"KNOCKANEDA, FREEMOUNT, CHARLEVILLE",,Cork,"€48,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/05/2016,"2 THE CEDARS, CLASSIS LAKE, BALLINCOLLIG",,Cork,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/04/2016,"96 OAKFIELD, FATHER RUSSELL RD, RAHEEN",,Limerick,"€241,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/11/2013,"10 THE GREEN, ROBSWALL, MALAHIDEW",,Dublin,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/02/2014,"80 MANOR VILLAGE, WESTPORT RD, CASTLEBAR",,Mayo,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/05/2020,"TUBBERSCANAVAN HOUSE, MULLINABREENA, COLLOONEY",,Sligo,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/06/2017,"34 ABBEY VIEW, MONKSTOWN, DUBLIN",,Dublin,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/06/2017,"2 THREE TROUT BRIDGE, KILLINCARRAIG, GREYSTONES",,Wicklow,"€460,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/05/2018,"APT 5 THE LINKS, ELM PARK, MERRION RD DUBLIN 4",Dublin 4,Dublin,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2012,"Apt 94 Alliance Building, The Gasworks Barrow Street, South Lotts Road",,Dublin,"€164,431.57",No,No,Second-Hand Dwelling house /Apartment,
24/09/2019,"36 CASTLEGATE COPSE, ADAMSTOWN, DUBLIN",,Dublin,"€271,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2013,"93 SHAMROCK DR, MUSKERRY ESTATE, BALLINCOLLIG",,Cork,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/11/2018,"58 THE PAVILION, MARINE RD, DUN LAOGHAIRE",,Dublin,"€535,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/02/2014,"Apartment 16 Castlegate, Oliver Plunkett Road, Monkstown",,Dublin,"€125,500.00",No,No,Second-Hand Dwelling house /Apartment,
05/02/2021,"14 The Hawthorn, Manor Brook, Adare",,Limerick,"€439,647.58",No,Yes,New Dwelling house /Apartment,
12/12/2019,"APT 53 MARY MERCER BLOCK, WESTPARK APTS, CITYWEST",Dublin 24,Dublin,"€246,428.57",No,No,Second-Hand Dwelling house /Apartment,
03/02/2021,"30 WEST BOURNE AVE, CLONDALKIN, DUBLIN",Dublin 22,Dublin,"€227,500.00",No,No,Second-Hand Dwelling house /Apartment,
19/05/2017,"9 HAGANS COURT, BAGGOT ST LOWER, DUBLIN 2",Dublin 2,Dublin,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
